intent,text,response_template
traffic_prediction,cuma öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı ile Kadıköy arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Taksim çıkışı Fatih yolu,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba öğle durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,hafta sonu akşam durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,festival zamanı,Trafik tahmini için tarih ve saati belirtir misiniz?
traffic_prediction,pazartesi günü gece geç trafik,Trafik tahmini için lokasyon belirtir misiniz?
weather_traffic,dolu yağışı,Hava durumunun trafik etkisini analiz edebilirim.
route_inquiry,Fatih çıkışı Kartal yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy Üsküdar güzergahı,Size en uygun rotayı hesaplayabilirim.
alternative_route,trafik olmayan yol,Alternatif rota seçeneklerini gösterebilirim.
route_inquiry,Maltepe ile Kartal arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Levent Bakırköy güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdarden Bostancıye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba günü öğle trafik,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cuma sabah durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Leventden Eminönüye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Beşiktaş çıkışı Maslak yolu,Size en uygun rotayı hesaplayabilirim.
travel_time,yürüyerek kaç dakika,Süre hesaplaması için rotanızı belirtir misiniz?
route_inquiry,Mecidiyeköy çıkışı Bakırköy yolu,Size en uygun rotayı hesaplayabilirim.
travel_time,Anadolu yakasından Avrupa yakasına kaç dakika,Süre hesaplaması için rotanızı belirtir misiniz?
greeting,günaydın,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Kartal çıkışı Levent yolu,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Eminönü ile Fatih arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy çıkışı Maltepe yolu,Size en uygun rotayı hesaplayabilirim.
best_departure_time,boş saatler,En iyi çıkış zamanını hesaplayabilirim.
traffic_prediction,cuma günü akşam trafik,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Üsküdar ile Beşiktaş arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kadıköy ile Fatih arasında rota,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Mecidiyeköy Beylikdüzü güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Kartal çıkışı Kadıköy yolu,Size en uygun rotayı hesaplayabilirim.
best_departure_time,en iyi çıkış zamanı,En iyi çıkış zamanını hesaplayabilirim.
traffic_prediction,pazar akşam üstü trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Kadıköyden Beşiktaşa rota,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
traffic_prediction,cuma akşam üstü durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,cumartesi gece durum nasıl,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,pazartesi gece yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
goodbye,sonra konuşuruz,Güvenli yolculuklar dilerim!
route_inquiry,Üsküdar Eminönü arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Avrupa yakasından Anadolu yakasına,Size en uygun rotayı hesaplayabilirim. Detayları belirtir misiniz?
goodbye,hoşça kal bot,Güvenli yolculuklar dilerim!
traffic_prediction,hafta içi öğle trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Taksim Maslak arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişli Eminönü arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba akşam yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
traffic_prediction,çarşamba mesai saati trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı Beylikdüzü arası yol,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,pazartesi gece geç trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
greeting,merhaba trafik botu,Merhaba! Size trafik bilgileri konusunda nasıl yardımcı olabilirim?
route_inquiry,Mecidiyeköy ile Maltepe arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,perşembe sabah trafik durumu,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Mecidiyeköyden Beşiktaşye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
traffic_prediction,çarşamba öğle yoğunluk,Trafik tahmini için lokasyon belirtir misiniz?
route_inquiry,Bostancı Beşiktaş güzergahı,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Üsküdar ile Maslak arasında rota,Size en uygun rotayı hesaplayabilirim.
traffic_status,Kadıköy trafiği,Hangi güzergahın durumunu kontrol etmek istiyorsunuz?
route_inquiry,Levent Eminönü arası yol,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Şişliden Mecidiyeköyye nasıl giderim,Size en uygun rotayı hesaplayabilirim.
route_inquiry,Bakırköy Kadıköy arası yol,Size en uygun rotayı hesaplayabilirim.
